validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
,,,30.0,0.7576054930686951,0.774642825126648,0.0005000000237487257
0.8922731876373291,0.6105769276618958,0.0005000000237487257,31.0,,,
,,,31.0,0.7527480721473694,0.7749999761581421,0.0005000000237487257
0.9113414287567139,0.6057692766189575,0.0005000000237487257,32.0,,,
,,,32.0,0.7511581182479858,0.7821428775787354,0.0005000000237487257
0.9037201404571533,0.634615421295166,0.0005000000237487257,33.0,,,
,,,33.0,0.7508141994476318,0.7810714244842529,0.0005000000237487257
0.9214656352996826,0.6177884936332703,0.0005000000237487257,34.0,,,
,,,34.0,0.751147985458374,0.7805356979370117,0.0005000000237487257
0.9000805616378784,0.603365421295166,0.0005000000237487257,35.0,,,
,,,35.0,0.7441653609275818,0.7794643044471741,0.0005000000237487257
0.8968541622161865,0.6057692766189575,0.0005000000237487257,36.0,,,
,,,36.0,0.745345950126648,0.7810714244842529,0.0005000000237487257
0.914601743221283,0.6153846383094788,0.0005000000237487257,37.0,,,
,,,37.0,0.7409155368804932,0.7837499976158142,0.0005000000237487257
0.9081749320030212,0.629807710647583,0.0005000000237487257,38.0,,,
,,,38.0,0.7423841953277588,0.7830356955528259,0.0005000000237487257
0.9406403303146362,0.5865384936332703,0.0005000000237487257,39.0,,,
,,,39.0,0.7305648922920227,0.8023214340209961,0.0005000000237487257
0.8972446918487549,0.6418269276618958,0.0005000000237487257,40.0,,,
,,,40.0,0.735902726650238,0.7932142615318298,0.0005000000237487257
0.9061706066131592,0.6274038553237915,0.0005000000237487257,41.0,,,
,,,41.0,0.7391843795776367,0.7964285612106323,0.0005000000237487257
0.8950482606887817,0.6274038553237915,0.0005000000237487257,42.0,,,
,,,42.0,0.7348798513412476,0.7923214435577393,0.0005000000237487257
0.888502836227417,0.6225962042808533,0.0005000000237487257,43.0,,,
,,,43.0,0.7354254722595215,0.795535683631897,0.0005000000237487257
0.8949369788169861,0.6370192766189575,0.0005000000237487257,44.0,,,
,,,44.0,0.7312065958976746,0.8010714054107666,0.0005000000237487257
0.8955676555633545,0.6322115659713745,0.0005000000237487257,45.0,,,
,,,45.0,0.7291355729103088,0.8008928298950195,0.0005000000237487257
0.9011456966400146,0.6105769276618958,0.0005000000237487257,46.0,,,
,,,46.0,0.7298396229743958,0.8033928275108337,0.0005000000237487257
0.8972752094268799,0.6177884936332703,0.0005000000237487257,47.0,,,
,,,47.0,0.7277514338493347,0.8044642806053162,0.0005000000237487257
0.896220326423645,0.625,0.0005000000237487257,48.0,,,
,,,48.0,0.7258758544921875,0.8033928275108337,0.0005000000237487257
0.9011169075965881,0.6225962042808533,0.0005000000237487257,49.0,,,
,,,49.0,0.7241666316986084,0.8112499713897705,0.0005000000237487257
