validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
0.9154868721961975,0.6057692766189575,0.0005000000237487257,0.0,,,
,,,0.0,0.958561897277832,0.5633928775787354,0.0005000000237487257
0.8966105580329895,0.6129807829856873,0.0005000000237487257,1.0,,,
,,,1.0,0.9086983799934387,0.6075000166893005,0.0005000000237487257
0.8950861692428589,0.603365421295166,0.0005000000237487257,2.0,,,
,,,2.0,0.8951308131217957,0.6194642782211304,0.0005000000237487257
0.9273749589920044,0.567307710647583,0.0005000000237487257,3.0,,,
,,,3.0,0.8922673463821411,0.6262499690055847,0.0005000000237487257
0.9099091291427612,0.5817307829856873,0.0005000000237487257,4.0,,,
,,,4.0,0.8823140859603882,0.6389285922050476,0.0005000000237487257
0.8672145009040833,0.6274038553237915,0.0005000000237487257,5.0,,,
,,,5.0,0.8797876834869385,0.635357141494751,0.0005000000237487257
0.9068396687507629,0.6057692766189575,0.0005000000237487257,6.0,,,
,,,6.0,0.8700011968612671,0.6485714316368103,0.0005000000237487257
0.8650901913642883,0.6538462042808533,0.0005000000237487257,7.0,,,
,,,7.0,0.8701959848403931,0.6533928513526917,0.0005000000237487257
0.8682723641395569,0.665865421295166,0.0005000000237487257,8.0,,,
,,,8.0,0.8645341396331787,0.6541071534156799,0.0005000000237487257
0.8987139463424683,0.6201923489570618,0.0005000000237487257,9.0,,,
,,,9.0,0.8579710125923157,0.6616071462631226,0.0005000000237487257
0.8715924620628357,0.6490384936332703,0.0005000000237487257,10.0,,,
,,,10.0,0.8583658337593079,0.6664285659790039,0.0005000000237487257
0.8717516660690308,0.6514423489570618,0.0005000000237487257,11.0,,,
,,,11.0,0.850473165512085,0.6700000166893005,0.0005000000237487257
0.8714640736579895,0.6730769276618958,0.0005000000237487257,12.0,,,
,,,12.0,0.8449305891990662,0.681071400642395,0.0005000000237487257
0.8809170722961426,0.6105769276618958,0.0005000000237487257,13.0,,,
,,,13.0,0.8386351466178894,0.6857143044471741,0.0005000000237487257
0.8522661924362183,0.6995192766189575,0.0005000000237487257,14.0,,,
,,,14.0,0.8392797112464905,0.685535728931427,0.0005000000237487257
0.8606829643249512,0.6538462042808533,0.0005000000237487257,15.0,,,
,,,15.0,0.8341426849365234,0.689464271068573,0.0005000000237487257
0.8689694404602051,0.6538462042808533,0.0005000000237487257,16.0,,,
,,,16.0,0.8314431309700012,0.6941071152687073,0.0005000000237487257
0.8790399432182312,0.6442307829856873,0.0005000000237487257,17.0,,,
,,,17.0,0.831939160823822,0.6942856907844543,0.0005000000237487257
0.8628457188606262,0.6778846383094788,0.0005000000237487257,18.0,,,
,,,18.0,0.8263647556304932,0.7010714411735535,0.0005000000237487257
0.8419290781021118,0.7043269276618958,0.0005000000237487257,19.0,,,
,,,19.0,0.8249848484992981,0.7014285922050476,0.0005000000237487257
0.8786193132400513,0.6442307829856873,0.0005000000237487257,20.0,,,
,,,20.0,0.8180427551269531,0.7119642496109009,0.0005000000237487257
0.8842464685440063,0.6418269276618958,0.0005000000237487257,21.0,,,
,,,21.0,0.8203185796737671,0.708392858505249,0.0005000000237487257
