validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
0.9308139085769653,0.5963541269302368,0.0005000000237487257,0.0,,,
,,,0.0,0.9502007365226746,0.5528358221054077,0.0005000000237487257
0.8985828757286072,0.572265625,0.0005000000237487257,1.0,,,
,,,1.0,0.9111235737800598,0.5963626503944397,0.0005000000237487257
0.8932540416717529,0.6013454794883728,0.0005000000237487257,2.0,,,
,,,2.0,0.8850263357162476,0.6180245876312256,0.0005000000237487257
0.8884257078170776,0.6423611044883728,0.0005000000237487257,3.0,,,
,,,3.0,0.872319757938385,0.6345119476318359,0.0005000000237487257
