validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
0.9109013080596924,0.6009615659713745,0.0005000000237487257,0.0,,,
,,,0.0,0.9576888680458069,0.5551785826683044,0.0005000000237487257
0.9056633710861206,0.6105769276618958,0.0005000000237487257,1.0,,,
,,,1.0,0.9112054109573364,0.6051785945892334,0.0005000000237487257
0.9221432209014893,0.5841346383094788,0.0005000000237487257,2.0,,,
,,,2.0,0.9010790586471558,0.6071428656578064,0.0005000000237487257
0.8773935437202454,0.629807710647583,0.0005000000237487257,3.0,,,
,,,3.0,0.8913450241088867,0.6282142996788025,0.0005000000237487257
0.871986985206604,0.6466346383094788,0.0005000000237487257,4.0,,,
,,,4.0,0.8823683261871338,0.6380357146263123,0.0005000000237487257
0.8864163756370544,0.6105769276618958,0.0005000000237487257,5.0,,,
,,,5.0,0.8767424821853638,0.639285683631897,0.0005000000237487257
0.8764422535896301,0.6442307829856873,0.0005000000237487257,6.0,,,
,,,6.0,0.8743210434913635,0.6432142853736877,0.0005000000237487257
0.8848608732223511,0.6274038553237915,0.0005000000237487257,7.0,,,
,,,7.0,0.8658183217048645,0.6524999737739563,0.0005000000237487257
0.8861616849899292,0.6466346383094788,0.0005000000237487257,8.0,,,
,,,8.0,0.862244188785553,0.6573213934898376,0.0005000000237487257
1.070852518081665,0.4807692766189575,0.0005000000237487257,9.0,,,
,,,9.0,0.85883629322052,0.6614285707473755,0.0005000000237487257
0.8669390082359314,0.6682692766189575,0.0005000000237487257,10.0,,,
,,,10.0,0.8528949618339539,0.6603571176528931,0.0005000000237487257
0.9143422245979309,0.625,0.0005000000237487257,11.0,,,
,,,11.0,0.8518534302711487,0.6691071391105652,0.0005000000237487257
0.929920494556427,0.5576923489570618,0.0005000000237487257,12.0,,,
,,,12.0,0.8432119488716125,0.6787499785423279,0.0005000000237487257
0.8739911913871765,0.6370192766189575,0.0005000000237487257,13.0,,,
,,,13.0,0.841839611530304,0.6760714054107666,0.0005000000237487257
0.855442464351654,0.6634615659713745,0.0005000000237487257,14.0,,,
,,,14.0,0.8347181081771851,0.6885713934898376,0.0005000000237487257
0.9714173078536987,0.5625,0.0005000000237487257,15.0,,,
,,,15.0,0.8329384922981262,0.6878571510314941,0.0005000000237487257
0.9071227312088013,0.5961538553237915,0.0005000000237487257,16.0,,,
,,,16.0,0.8308789134025574,0.6974999904632568,0.0005000000237487257
1.0776641368865967,0.42788463830947876,0.0005000000237487257,17.0,,,
,,,17.0,0.8279462456703186,0.7037500143051147,0.0005000000237487257
